country,region,education level,gender,age group,household size,crop type,farm size (acres),farming experience,land tenure,fertiliser,certified seeds,pest management,phone ownership,internet use,agricultural financing,bank account,mobile account,losses-rain pattern,losses-drought,losses-heatwave,losses-storms,losses-mudslides,farmer organization,service provider awareness,agricultural continuity,land expansion
Kenya,Eastern Africa,primary,male,65 or older,8,food crops,,,own all the land,yes,yes,yes,yes,,,no,no,yes,no,no,no,no,,yes,,
Kenya,Eastern Africa,primary,female,35-44,3,food crops,,,rent all the land,no,no,no,yes,,,no,no,yes,yes,no,no,no,,no,,
Kenya,Eastern Africa,primary,female,55-64,4,food crops,,,own all the land,no,no,no,yes,,,no,no,yes,yes,no,no,no,,yes,,
Kenya,Eastern Africa,secondary,female,45-54,2,food crops,,,own all the land,no,no,yes,yes,,,yes,yes,yes,no,no,no,no,,yes,,
Kenya,Eastern Africa,no education,male,65 or older,5,food crops,,,own all the land,yes,yes,yes,yes,,,yes,yes,yes,no,no,no,no,,yes,,
Kenya,Eastern Africa,primary,male,45-54,8,food crops,,,own all the land,no,no,no,yes,,,yes,yes,yes,yes,no,no,no,,yes,,
Kenya,Eastern Africa,primary,female,45-54,6,food crops,,,own part of the land and rent the rest,yes,yes,yes,yes,,,no,yes,yes,no,no,no,no,,yes,,
Kenya,Eastern Africa,no education,female,65 or older,5,food crops,,,own all the land,no,yes,no,no,,,no,no,yes,no,no,no,no,,yes,,
Kenya,Eastern Africa,no education,male,65 or older,6,food crops,,,own all the land,yes,yes,yes,no,,,no,no,yes,yes,no,no,no,,yes,,
Kenya,Eastern Africa,no education,female,65 or older,2,food crops,,,own all the land,no,no,no,yes,,,no,no,yes,yes,no,no,no,,yes,,
Kenya,Eastern Africa,primary,female,55-64,5,food crops,,,own all the land,yes,yes,yes,yes,,,yes,yes,no,yes,no,no,no,,yes,,
Kenya,Eastern Africa,secondary,female,55-64,1,food crops,,,own all the land,yes,yes,yes,yes,,,yes,yes,yes,no,no,no,no,,yes,,
Kenya,Eastern Africa,secondary,female,65 or older,5,food crops,,,own all the land,yes,yes,no,yes,,,no,yes,,,,,,,yes,,
Kenya,Eastern Africa,primary,male,45-54,6,food crops,,,own part of the land and rent the rest,yes,yes,yes,yes,,,no,yes,yes,yes,yes,no,yes,,yes,,
Kenya,Eastern Africa,no education,female,55-64,7,food crops,,,own part of the land and rent the rest,yes,yes,yes,yes,,,no,yes,yes,no,no,no,no,,yes,,
Kenya,Eastern Africa,primary,female,35-44,5,food crops,,,own part of the land and rent the rest,no,no,no,yes,,,no,yes,yes,yes,no,no,no,,yes,,
Kenya,Eastern Africa,primary,male,55-64,3,food crops,,,own all the land,yes,yes,yes,yes,,,no,yes,yes,yes,no,no,no,,yes,,
Kenya,Eastern Africa,primary,male,35-44,5,food crops,,,own all the land,yes,yes,yes,yes,,,yes,yes,yes,yes,yes,no,yes,,yes,,
Kenya,Eastern Africa,secondary,female,25-34,5,food crops,,,own all the land,yes,yes,yes,yes,,,yes,yes,yes,yes,no,no,no,,yes,,
Kenya,Eastern Africa,secondary,male,45-54,4,food crops,,,own part of the land and rent the rest,yes,yes,yes,yes,,,yes,yes,yes,no,no,no,no,,yes,,
Kenya,Eastern Africa,secondary,female,25-34,4,food crops,,,own all the land,yes,yes,yes,yes,,,no,no,yes,yes,no,no,no,,yes,,
Kenya,Eastern Africa,secondary,female,45-54,4,food crops,,,rent all the land,yes,yes,no,yes,,,yes,yes,yes,no,no,no,no,,yes,,
Kenya,Eastern Africa,primary,female,45-54,6,food crops,,,own all the land,yes,yes,yes,no,,,no,no,yes,yes,no,no,no,,yes,,
Kenya,Eastern Africa,secondary,female,35-44,5,food crops,,,own all the land,yes,yes,yes,yes,,,no,yes,no,no,yes,no,no,,yes,,
Kenya,Eastern Africa,secondary,male,35-44,1,food crops,,,own all the land,yes,yes,no,yes,,,yes,yes,yes,yes,no,no,no,,yes,,
Kenya,Eastern Africa,secondary,female,55-64,2,food crops,,,own all the land,no,yes,no,yes,,,no,yes,no,yes,no,no,no,,yes,,
Kenya,Eastern Africa,secondary,female,45-54,5,food crops,,,own part of the land and rent the rest,yes,yes,yes,yes,,,yes,yes,yes,no,yes,no,no,,yes,,
Kenya,Eastern Africa,no education,male,65 or older,7,food crops,,,own all the land,yes,yes,yes,yes,,,yes,yes,yes,no,no,no,no,,yes,,
Kenya,Eastern Africa,tertiary education,male,65 or older,1,food crops,,,own all the land,no,no,no,yes,,,yes,yes,,,,,,,yes,,
Kenya,Eastern Africa,secondary,male,45-54,4,food crops,,,own all the land,yes,yes,no,yes,,,yes,yes,yes,yes,no,no,no,,yes,,
Kenya,Eastern Africa,secondary,male,55-64,9,food crops,,,own all the land,yes,yes,yes,yes,,,yes,yes,no,yes,no,no,no,,yes,,
Kenya,Eastern Africa,primary,female,35-44,5,food crops,,,own part of the land and rent the rest,yes,yes,no,yes,,,no,no,yes,yes,no,no,no,,yes,,
Kenya,Eastern Africa,primary,male,65 or older,5,food crops,,,own all the land,yes,yes,yes,yes,,,no,yes,yes,yes,yes,no,yes,,yes,,
Kenya,Eastern Africa,primary,female,45-54,5,food crops,,,own part of the land and rent the rest,no,no,no,yes,,,no,no,yes,yes,no,no,no,,yes,,
Kenya,Eastern Africa,primary,male,45-54,5,food crops,,,own all the land,yes,yes,yes,yes,,,no,no,yes,no,no,no,no,,yes,,
Kenya,Eastern Africa,primary,female,45-54,6,food crops,,,own all the land,yes,yes,yes,yes,,,no,no,yes,yes,no,no,no,,yes,,
Kenya,Eastern Africa,primary,female,,4,food crops,,,own all the land,no,no,no,yes,,,yes,no,no,yes,no,no,no,,yes,,
Kenya,Eastern Africa,primary,male,55-64,9,food crops,,,own all the land,yes,yes,no,yes,,,yes,yes,yes,yes,no,no,no,,yes,,
Kenya,Eastern Africa,secondary,female,35-44,4,food crops,,,own part of the land and rent the rest,yes,yes,yes,yes,,,no,yes,,,,,,,yes,,
Kenya,Eastern Africa,secondary,female,45-54,4,food crops,,,own all the land,yes,yes,yes,yes,,,no,yes,yes,yes,yes,no,no,,yes,,
